Hip Yaw	Hip Pitch	Hip Roll	Knee Yaw	Knee Pitch	Knee Roll	Ankle Yaw	Ankle Pitch	Ankle Roll	Time Stamp

										36.9184	-29.90298	5.512469	-6.901648	-30.76713	2.278048	1.451707	149.2329	-2.278047	-1.451707	
0.3	0.0	0.1	0.9	0.2	-0.2	0.1	-0.1	0.8		39.6989
										39.6989	-29.90162	5.465693	-6.930127	-29.86645	1.985707	1.156305	150.1857	-2.6773	-1.547631	
-1.0	-0.2	0.2	7.7	-1.6	-1.1	-8.0	3.3	2.8		126.4837
										126.4837	-27.54523	5.533755	-6.618638	-19.9971	-0.868711	1.900762	151.184	-1.976008	-2.689495	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		357.2652
										357.2652	-27.54523	5.533755	-6.618638	-19.9971	-0.868711	1.900762	151.184	-1.976008	-2.689495	
0.0	0.0	0.0	0.3	-14.6	-16.2	0.0	0.0	0.0		361.2575
										361.2575	-27.54523	5.533755	-6.618638	-19.99711	-22.67618	1.900761	151.184	-1.976008	-2.689495	
0.0	0.0	0.0	-4.5	15.3	15.6	0.0	0.0	0.0		368.3125
										368.3125	-27.54523	5.533755	-6.618638	-19.9971	-0.868711	1.900762	151.184	-1.976008	-2.689495	
